"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"11","Moderate Majority","0","500","20000","500","99.4","0","1661055","0.49463881802773535","0.9947836927396361","1"
"1","Moderate Majority","0","500","20000","500","99.4","0","1638247","0.47929400451807996","0.9947042793011952","1"
"10","Moderate Majority","0","500","20000","500","99.2","0","1641630","0.5296177895236789","0.9933869376413748","1"
"15","Moderate Majority","0","500","20000","500","99","0","1641299","0.4688952562385801","0.991301688345143","1"
"7","Moderate Majority","0","500","20000","500","99.2","0","1638236","0.49994651455432976","0.9929628826172043","1"
"4","Moderate Majority","0","500","20000","500","99","0","1638642","0.5185111188641216","0.9910828500295739","1"
"5","Moderate Majority","0","500","20000","500","99.2","0","1637101","0.4938420234058515","0.993354073774055","1"
"13","Moderate Majority","0","500","20000","500","99.2","0","1638557","0.5040832823314072","0.9925463509453213","1"
"14","Moderate Majority","0","500","20000","500","98.8","0","1636735","0.48573053453507853","0.9891249457665703","1"
"6","Moderate Majority","0","500","20000","500","99.4","0","1648406","0.4534660470232424","0.9945202665055574","1"
"12","Moderate Majority","0","500","20000","500","99.4","0","1637506","0.49868296927825867","0.9947267204305936","1"
"16","Moderate Majority","0","500","20000","500","99.4","0","1639371","0.4992510632732823","0.9947401933419769","1"
"3","Moderate Majority","0","500","20000","500","99.2","0","1633675","0.5011550047722833","0.9932947959213876","1"
"9","Moderate Majority","0","500","20000","500","99.4","0","1635000","0.5092940889467044","0.9947151998775952","1"
"8","Moderate Majority","0","500","20000","500","99.4","0","1643792","0.5248006389868995","0.9945748460103789","1"
"2","Moderate Majority","0","500","20000","500","99.6","0","1640450","0.522099800354807","0.9963329993196222","1"
"17","Moderate Majority","0","500","20000","500","99.2","0","1644483","0.48698945893080176","0.9929539392442546","1"
"19","Moderate Majority","0","500","20000","500","99.2","0","1649858","0.4879054244376364","0.9928752928283217","1"
"18","Moderate Majority","0","500","20000","500","99.2","0","1638090","0.49209008897589496","0.9928380457062489","1"
"21","Moderate Majority","0","500","20000","500","99.6","0","1637159","0.491966372487299","0.9963655921107061","1"
